,precision,recall,f1-score,support
akiec,0.42857142857142855,0.061224489795918366,0.10714285714285714,49.0
bcc,0.2857142857142857,0.025974025974025976,0.047619047619047616,77.0
bkl,0.42857142857142855,0.05454545454545454,0.0967741935483871,165.0
df,0.0,0.0,0.0,17.0
mel,0.2,0.005988023952095809,0.011627906976744186,167.0
nv,0.6808219178082192,0.9880715705765407,0.8061638280616383,1006.0
vasc,0.0,0.0,0.0,22.0
accuracy,0.6713240186294078,0.6713240186294078,0.6713240186294078,0.6713240186294078
macro avg,0.2890970086664803,0.1622576521205765,0.15276111904981063,1503.0
weighted avg,0.5535736094673015,0.6713240186294078,0.5574365137041085,1503.0
