,precision,recall,f1-score,support
akiec,0.0,0.0,0.0,49.0
bcc,0.0,0.0,0.0,77.0
bkl,0.4,0.048484848484848485,0.08648648648648649,165.0
df,0.0,0.0,0.0,17.0
mel,0.0,0.0,0.0,167.0
nv,0.6756574511126096,0.9960238568588469,0.8051426275612696,1006.0
vasc,0.0,0.0,0.0,22.0
accuracy,0.6719893546240852,0.6719893546240852,0.6719893546240852,0.6719893546240852
macro avg,0.15366535015894423,0.14921552933481363,0.12737558772110802,1503.0
weighted avg,0.49614863327963094,0.6719893546240852,0.5483990376559598,1503.0
