,precision,recall,f1-score,support
akiec,0.5,0.061224489795918366,0.10909090909090909,49.0
bcc,0.5714285714285714,0.36363636363636365,0.4444444444444444,77.0
bkl,0.42168674698795183,0.42424242424242425,0.4229607250755287,165.0
df,0.0,0.0,0.0,17.0
mel,0.5078125,0.38922155688622756,0.4406779661016949,167.0
nv,0.8317265556529361,0.9433399602385686,0.8840242198416395,1006.0
vasc,0.6923076923076923,0.4090909090909091,0.5142857142857142,22.0
accuracy,0.7478376580172987,0.7478376580172987,0.7478376580172987,0.7478376580172987
macro avg,0.5035660094824503,0.3701079576986302,0.402211996977133,1503.0
weighted avg,0.7151235428946341,0.7478376580172987,0.7209528061337972,1503.0
